"Name","Match","EXTRACT","New","Revision","Ticker","Obsolete Date","Obsolete Month","Obsolete Year","Inception Date...4","Inception Month","Inception Year","Obsolete Type","US Category Group","Firm Name","Inception Date...8","Net Assets Date","Net Assets - Share Class USD","Share Class Type","Index Fund","Estimated Share Class Net Flow (Yearly) Year2015 USD","Estimated Share Class Net Flow (Yearly) Year2016 USD","Estimated Share Class Net Flow (Yearly) Year2017 USD","Estimated Share Class Net Flow (Yearly) Year2018 USD","Estimated Share Class Net Flow (Yearly) Year2019 USD","Annual Report Net Expense Ratio Year2015","Annual Report Net Expense Ratio Year2016","Annual Report Net Expense Ratio Year2017","Annual Report Net Expense Ratio Year2018","Annual Report Net Expense Ratio Year2019","Inception Date","Same_Year"
"JPMorgan Government Bond R3",TRUE," R3","R3","R3","OGGPX",NA,NA,NA,2016-09-09,9,2016,NA,"Taxable Bond","JPMorgan",2016-09-09,2020-01-21,20979599,"Retirement","No",NA,20101.544,2794031.474,9312560.341,8231046.843,NA,NA,0.83,0.47,0.84,NA,NA
"Goldman Sachs Income P",TRUE," P","P","P","GSCUX",NA,NA,NA,2019-12-03,12,2019,NA,"Taxable Bond","Goldman Sachs",2019-12-03,2020-01-21,51032,"Other","No",NA,NA,NA,NA,50435,NA,NA,NA,NA,NA,NA,NA
"Goldman Sachs Income A",TRUE," A","A","A","GSCHX",NA,NA,NA,2019-12-03,12,2019,NA,"Taxable Bond","Goldman Sachs",2019-12-03,2020-01-21,161260,"A","No",NA,NA,NA,NA,50435,NA,NA,NA,NA,NA,NA,NA
"Delaware Covered Call Strategy Instl",TRUE," Instl","Instl","Instl","FRCDX",NA,NA,NA,2016-04-01,4,2016,NA,"Alternative","Delaware Funds by Macquarie",2016-04-01,2020-01-21,61568146,"Adv","No",NA,56152222.426,80056998.031,-41752497.774,-44734399.811,NA,0.98,0.97,0.97,0.97,NA,NA
"MFS Commodity Strategy R1",TRUE," R1","R1","R1","MCSNX",NA,NA,NA,2018-08-15,8,2018,NA,"Commodities","MFS",2018-08-15,2020-01-21,47743,"Retirement","No",NA,NA,NA,49209.418,-37.61,NA,NA,NA,1.93,1.83,NA,NA
"Invenomic Investor",TRUE," Investor","Investor","Investor","BIVRX",NA,NA,NA,2017-06-19,6,2017,NA,"Alternative","Balter",2017-06-19,2020-01-21,15570721,"Inv","No",NA,NA,21742.694,9212841.99,4958217.126,NA,NA,2.86,3.02,3.02,NA,NA
"MainStay MacKay International Equity R6",TRUE," R6","R6","R6","MIFDX",NA,NA,NA,2019-02-28,2,2019,NA,"International Equity","MainStay",2019-02-28,2020-01-21,198460915,"Retirement","No",NA,NA,NA,NA,176828276.699,NA,NA,NA,NA,0.83,NA,NA
"Schwab ® US Large-Cap Value Index",TRUE," Index","Index","Index","SWLVX",NA,NA,NA,2017-12-20,12,2017,NA,"U.S. Equity","Schwab Funds",2017-12-20,2020-01-21,235159848,"Other","Yes",NA,NA,15736682,94836748.362,88298450.859,NA,NA,NA,0.02,0.035,NA,NA
"Russell Inv Multi-Strategy Income T",TRUE," T","T","T",NA,2017-12-14,12,2017,2017-06-07,6,2017,"Liquidated","Allocation","Russell",2017-06-07,2017-12-14,103072,"T","No",NA,NA,-2913.262,NA,NA,NA,NA,1.07,NA,NA,2017-06-07,1
"Nuveen Gresham Managed Futures Strat A",TRUE," A","A","A","NGAFX",NA,NA,NA,2018-10-01,10,2018,NA,"Alternative","Nuveen",2018-10-01,2020-01-21,94069,"A","No",NA,NA,NA,24983.999,65259.745,NA,NA,NA,NA,1.52,NA,NA
"Nuveen Gresham Managed Futures Strat R6",TRUE," R6","R6","R6","NGFFX",NA,NA,NA,2018-10-01,10,2018,NA,"Alternative","Nuveen",2018-10-01,2020-01-21,24058206,"Retirement","No",NA,NA,NA,24883505.938,-3564331.37,NA,NA,NA,NA,1.26,NA,NA
"Marshfield Concentrated Opportunity",TRUE," Opportunity","Opportunity","Opportunity","MRFOX",NA,NA,NA,2015-12-29,12,2015,NA,"U.S. Equity","Marshfield",2015-12-29,2020-01-21,145781692,"Other","No",1304510,5124018.411,5555513.375,10247487.478,96710449.407,NA,1.22,1.1,1.1,1.1,NA,NA
"Western Asset Short Duration Muni Inc A2",TRUE," A2","A2","A2","SHDQX",NA,NA,NA,2015-02-27,2,2015,NA,"Municipal Bond","Legg Mason",2015-02-27,2020-01-21,2426124,"A","No",NA,504278.519,-203689.674,37027.283,1242680.157,0.68,0.87,0.95,0.95,0.84,NA,NA
"BNY Mellon Balanced Opportunity Y",TRUE," Y","Y","Y","DBOYX",NA,NA,NA,2016-09-30,9,2016,NA,"Allocation","BNY Mellon",2016-09-30,2020-01-21,4749180,"Inst","No",NA,9782.197,-517.924,-852.174,4915248.183,NA,0.95,0.93,0.95,NA,NA,NA
"BNY Mellon Sust US Equity Y",TRUE," Y","Y","Y","DTCYX",NA,NA,NA,2016-09-30,9,2016,NA,"U.S. Equity","BNY Mellon",2016-09-30,2020-01-21,183680,"Inst","No",NA,9477.059,242626.332,-55990.518,-77744.279,NA,NA,0.94,0.7,0.7,NA,NA
"BNY Mellon Technology Growth Y",TRUE," Y","Y","Y","DTEYX",NA,NA,NA,2016-09-30,9,2016,NA,"Sector Equity","BNY Mellon",2016-09-30,2020-01-21,189402,"Inst","No",NA,9265.569,-947.436,-2106.43,156178.248,NA,NA,0.89,0.85,0.89,NA,NA
"Lord Abbett Core Plus Bond R3",TRUE," R3","R3","R3","LAPQX",NA,NA,NA,2015-12-08,12,2015,NA,"Taxable Bond","Lord Abbett",2015-12-08,2020-01-21,194391,"Retirement","No",24659,1008.378,956.554,1230.429,164027.813,NA,0.97,0.98,0.97,NA,NA,NA
"Lord Abbett Core Plus Bond R5",TRUE," R5","R5","R5","LAPVX",NA,NA,NA,2015-12-08,12,2015,NA,"Taxable Bond","Lord Abbett",2015-12-08,2020-01-21,30417,"Retirement","No",24660,1138.015,912.445,1082.438,1345.821,NA,0.49,0.48,0.47,NA,NA,NA
"Lord Abbett Core Plus Bond I",TRUE," I","I","Instl","LAPIX",NA,NA,NA,2015-12-08,12,2015,NA,"Taxable Bond","Lord Abbett",2015-12-08,2020-01-21,16368495,"Inst","No",98552,4554.155,3645.915,4347.122,15317160.288,NA,0.48,0.48,0.47,NA,NA,NA
"Virtus Ceredex Large-Cap Value Eq I{mg}",TRUE," I{mg}","I","Instl",NA,2017-07-14,7,2017,2017-06-01,6,2017,"Merged",NA,"Virtus",2017-06-01,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-01,1
"Carillon Scout International R-6",TRUE," R-6","R6","R6","CSIWX",NA,NA,NA,2017-11-20,11,2017,NA,"International Equity","Carillon Family of Funds",2017-11-20,2020-01-21,3444402,"Retirement","No",NA,NA,10181.595,2996382.415,495728.029,NA,NA,NA,0.99,1.02,NA,NA
"PGIM QMA Large-Cap Core Equity PLUS A",TRUE," A","A","A","PQMAX",NA,NA,NA,2017-09-19,9,2017,NA,"U.S. Equity","PGIM Funds (Prudential)",2017-09-19,2020-01-21,86865,"A","No",NA,NA,9986.528,35759.27,31745.594,NA,NA,NA,1.72,2.11,NA,NA
"Janus Henderson Value Plus Income N",TRUE," N","N","N","JPVNX",NA,NA,NA,2017-08-04,8,2017,NA,"Allocation","Janus Henderson",2017-08-04,2019-12-31,2970048,"N","No",NA,NA,1036581.872,95816.437,1514174.831,NA,NA,NA,0.69,0.71,NA,NA
"Goldman Sachs Abslt Ret Multi-Asst A LW",TRUE," A LW","A","A","GARDX.lw",2016-11-30,11,2016,2015-09-02,9,2015,"Liquidated","Alternative","Goldman Sachs",2015-09-02,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,2015-09-02,0
"Natixis Sustainable Future 2025 N",TRUE," N","N","N","NSFEX",NA,NA,NA,2017-02-28,2,2017,NA,"Allocation","Natixis Funds",2017-02-28,2020-01-21,6160745,"N","No",NA,NA,3006664.689,362106.418,1877462.055,NA,NA,NA,0.45,0.42,NA,NA
"DWS RREEF MLP & Energy Infras Inst",TRUE," Inst","Inst","Instl","DMPIX",NA,NA,NA,2015-02-03,2,2015,NA,"Sector Equity","DWS",2015-02-03,2020-01-21,1864285,"Inst","No",2084959.019,49934.074,992153.042,660400.927,-998714.723,1.49,1.74,1.47,2.14,NA,NA,NA
"PIMCO Preferred and Capital Secs I2",TRUE," I2","I2","I2","PFPNX",NA,NA,NA,2015-04-13,4,2015,NA,"Taxable Bond","PIMCO",2015-04-13,2019-12-31,293732109,"Inst","No",376879.638,-43588.122,21626151.877,84666887.548,176914901.467,NA,0.89,0.9,0.9,0.92,NA,NA
"PIMCO Preferred and Capital Secs D",TRUE," D","D","D",NA,2018-03-23,3,2018,2015-04-13,4,2015,"Merged","Taxable Bond","PIMCO",2015-04-13,2018-02-28,18513568,"D","No",43980.354,5040454.055,27441003.727,NA,NA,NA,1.14,1.15,NA,NA,2015-04-13,0
"Harbor Capital Appreciation Retirement",TRUE," Retirement","Retirement","R","HNACX",NA,NA,NA,2016-03-01,3,2016,NA,"U.S. Equity","Harbor",2016-03-01,2020-01-21,7853676770,"Retirement","No",NA,1100821200.463,2038040368.222,1489716464.104,639842771.404,NA,0.59,0.59,0.57,0.58,NA,NA
"Hartford Dividend and Growth F",TRUE," F","F","F","HDGFX",NA,NA,NA,2017-02-28,2,2017,NA,"U.S. Equity","Hartford Mutual Funds",2017-02-28,2020-01-21,3036317656,"Other","No",NA,NA,NA,-79515103.433,-95296484.55,NA,NA,0.64,0.64,0.64,NA,NA
"Six Circles International Uncon Eq",TRUE," Eq","Eq","Eq","CIUEX",NA,NA,NA,2018-07-09,7,2018,NA,"International Equity","Six Circles",2018-07-09,2020-01-21,5424507150,"Other","No",NA,NA,NA,2666831314.289,2284572046.695,NA,NA,NA,0.21,NA,NA,NA
"Wells Fargo Low Volatility US Eq R6",TRUE," R6","R6","R6","WLVJX",NA,NA,NA,2016-10-31,10,2016,NA,"U.S. Equity","Wells Fargo Funds",2016-10-31,2020-01-21,1258206,"Retirement","No",NA,NA,-36227.976,-75675.194,-55089.474,NA,NA,0.4,0.4,0.33,NA,NA
"Harbor Emerging Markets Equity Retire",TRUE," Retire","Retire","R","HNEMX",NA,NA,NA,2016-03-01,3,2016,NA,"International Equity","Harbor",2016-03-01,2020-01-21,52571976,"Retirement","No",NA,1212328.95,2495340.456,11814157.934,30354415.696,NA,1.1,1.08,1.07,1.02,NA,NA
"Virtus Duff & Phelps Sel MLP & Engy A",TRUE," A","A","A","VLPAX",NA,NA,NA,2015-09-09,9,2015,NA,"Sector Equity","Virtus",2015-09-09,2020-01-21,844910,"A","No",138207.34,105552.068,109986.289,-46202.092,830659.497,1.55,1.56,1.55,1.45,1.4,NA,NA
"Absolute Capital Opportunities Instl",TRUE," Instl","Instl","Instl","CAPOX",NA,NA,NA,2015-12-30,12,2015,NA,"Alternative","Absolute Strategies",2015-12-30,2020-01-21,60821749,"Other","No",10010,13038324.777,53829.194,35302118.799,10350468.141,NA,2.2,2.62,2.66,3.02,NA,NA
"Longboard Long/Short A Load Waived",TRUE," A Load Waived","A","A","LONAX.lw",2016-11-30,11,2016,2015-12-09,12,2015,"Liquidated","Alternative","Longboard",2015-12-09,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,3.24,NA,NA,NA,2015-12-09,0
"Goldman Sachs International T/M Eq P",TRUE," P","P","P","GGCPX",NA,NA,NA,2018-04-17,4,2018,NA,"International Equity","Goldman Sachs",2018-04-17,2020-01-21,69885265,"Other","No",NA,NA,NA,78449445.957,-10086779.991,NA,NA,NA,0.89,NA,NA,NA
"Goldman Sachs Absolute Ret Trckr P",TRUE," P","P","P","GSGPX",NA,NA,NA,2018-04-17,4,2018,NA,"Alternative","Goldman Sachs",2018-04-17,2020-01-21,232210040,"Other","No",NA,NA,NA,163388350.505,54926521.069,NA,NA,NA,0.59,NA,NA,NA
"PIMCO Low Duration I-3",TRUE," I-3","I3","I3","PTLNX",NA,NA,NA,2018-04-27,4,2018,NA,"Taxable Bond","PIMCO",2018-04-27,2019-12-31,6582534,"Inst","No",NA,NA,NA,5453198.852,873222.391,NA,NA,NA,NA,0.86,NA,NA
"PIMCO EqS® Long/Short I-3",TRUE," I-3","I3","I3",NA,2019-11-21,11,2019,2018-04-27,4,2018,"Liquidated","Alternative","PIMCO",2018-04-27,2019-10-31,1652977,"Inst","No",NA,NA,NA,1376953.002,NA,NA,NA,NA,2.25,2.58,2018-04-27,0
"PIMCO High Yield I-3",TRUE," I-3","I3","I3","PHNNX",NA,NA,NA,2018-04-27,4,2018,NA,"Taxable Bond","PIMCO",2018-04-27,2019-12-31,5608949,"Inst","No",NA,NA,NA,1696713.267,3581897.824,NA,NA,NA,NA,0.74,NA,NA
"PIMCO High Yield Spectrum I-3",TRUE," I-3","I3","I3","PHFNX",NA,NA,NA,2018-04-27,4,2018,NA,"Taxable Bond","PIMCO",2018-04-27,2019-12-31,460079,"Inst","No",NA,NA,NA,132616.028,248533.742,NA,NA,NA,NA,0.78,NA,NA
"PIMCO Dynamic Bond I-3",TRUE," I-3","I3","I3","PFNUX",NA,NA,NA,2018-04-27,4,2018,NA,"Taxable Bond","PIMCO",2018-04-27,2019-12-31,3710055,"Inst","No",NA,NA,NA,2909062.039,675067.503,NA,NA,NA,NA,1.15,NA,NA
"Silk Invest New Horizons Frontier Instl",TRUE," Instl","Instl","Instl","FSNHX",NA,NA,NA,2016-05-25,5,2016,NA,"International Equity","Silk Invest",2016-05-25,2020-01-21,27305861,"Inst","No",NA,32250396.205,1661243.04,NA,-14953016.255,NA,1.85,1.85,1.83,1.74,NA,NA
"Janus Henderson Global Equity Inc I{mg}",TRUE," I{mg}","I","Instl",NA,2017-06-05,6,2017,2017-05-02,5,2017,"Merged",NA,"Janus Henderson",2017-05-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,1
"Janus Henderson International L/S Eq S",TRUE," S","S","S",NA,2018-08-30,8,2018,2017-06-05,6,2017,"Liquidated","Alternative","Janus Henderson",2017-06-05,2018-07-31,48643,"S","No",NA,NA,50164.156,NA,NA,NA,NA,3.28,3.13,NA,2017-06-05,0
"Janus Henderson International Opps N",TRUE," N","N","N","HFOSX",NA,NA,NA,2015-11-30,11,2015,NA,"International Equity","Janus Henderson",2015-11-30,2019-12-31,310773181,"S","No",724127.584,-52362.616,9277091.221,23649817.187,256326742.468,NA,NA,0.93,0.94,0.91,NA,NA
"Janus Henderson Div & Inc Builder A{mg}",TRUE," A{mg}","A","A",NA,2017-06-05,6,2017,2017-05-02,5,2017,"Merged",NA,"Janus Henderson",2017-05-02,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,1
"Hancock Horizon Microcap Instl",TRUE," Instl","Instl","Instl","HMIIX",NA,NA,NA,2015-05-29,5,2015,NA,"U.S. Equity","Hancock Horizon",2015-05-29,2020-01-21,12322130,"Inst","No",4381305.295,1982455.433,4711914.863,1766603.614,-514363.789,NA,1.5,1.5,1.5,1.5,NA,NA
"AC Alternatives® Emerg Opps Ttl Ret I",TRUE," I","I","Instl",NA,2019-08-23,8,2019,2017-04-10,4,2017,"Liquidated","Taxable Bond","American Century Investments",2017-04-10,2019-08-23,5440,"Inst","No",NA,NA,5122.336,69.7,NA,NA,NA,1.11,1.06,NA,2017-04-10,0
"American Century Real Estate Y",TRUE," Y","Y","Y","ARYEX",NA,NA,NA,2017-04-10,4,2017,NA,"Sector Equity","American Century Investments",2017-04-10,2020-01-21,401939,"Inst","No",NA,NA,4928.598,357969.575,-47557.597,NA,NA,0.8,0.8,0.81,NA,NA
"American Century Large Company Value R5",TRUE," R5","R5","R5","ALVGX",NA,NA,NA,2017-04-10,4,2017,NA,"U.S. Equity","American Century Investments",2017-04-10,2020-01-21,6332,"Retirement","No",NA,NA,5038.439,41.444,18.624,NA,NA,NA,0.63,0.63,NA,NA
"American Century Diversified Bond R5",TRUE," R5","R5","R5","ADRVX",NA,NA,NA,2017-04-10,4,2017,NA,"Taxable Bond","American Century Investments",2017-04-10,2020-01-21,523604,"Retirement","No",NA,NA,211061.298,188648.851,53650.487,NA,NA,NA,0.4,0.4,NA,NA
"Brandes Emerging Markets Value R6",TRUE," R6","R6","R6","BEMRX",NA,NA,NA,2016-07-11,7,2016,NA,"International Equity","Brandes",2016-07-11,2020-01-21,53129714,"Retirement","No",NA,25464436.463,62766442.066,-60044889.085,13655854.697,NA,0.97,1.02,0.97,0.97,NA,NA
"JNL/S&P International 5 I",TRUE," I","I","Instl",NA,NA,NA,NA,2017-09-25,9,2017,NA,"International Equity","Jackson National",2017-09-25,2020-01-21,1550590,"Inst","No",NA,NA,496.854,816853.066,650406.218,NA,NA,0.72,0.48,NA,NA,NA
"Nuveen Multi-Asset Income Tax-Aware R6",TRUE," R6","R6","R6",NA,2018-09-25,9,2018,2016-09-26,9,2016,"Liquidated","Allocation","Nuveen",2016-09-26,2018-09-25,25205,"Retirement","No",NA,NA,-678.674,NA,NA,NA,NA,0.29,0.31,NA,2016-09-26,0
"JHancock ESG Large Cap Core A LW",TRUE," A LW","A","A","JHJAX.lw",2016-11-30,11,2016,2016-06-06,6,2016,"Liquidated","U.S. Equity","John Hancock",2016-06-06,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-06,1
"Western Asset California Municipals IS",TRUE," IS","IS","IS","SHRSX",NA,NA,NA,2019-08-09,8,2019,NA,"Municipal Bond","Legg Mason",2019-08-09,2020-01-21,328991,"Other","No",NA,NA,NA,NA,325795.661,NA,NA,NA,NA,NA,NA,NA
"American Beacon Numrc IntgrtdAlpha Instl",TRUE," Instl","Instl","Instl",NA,2018-12-10,12,2018,2016-11-01,11,2016,"Liquidated","Alternative","American Beacon",2016-11-01,2018-12-10,120934,"Inst","No",NA,6561847.024,-6565127.801,-120825.96,NA,NA,NA,4.56,4.8,NA,2016-11-01,0
"Bridge Builder Small/Mid Cap Value",TRUE," Value","Value","Value","BBVSX",NA,NA,NA,2015-04-27,4,2015,NA,"U.S. Equity","Bridge Builder",2015-04-27,2020-01-21,5401938911,"Inst","No",873823810.089,1230310542.268,1067701866.619,801068609.881,334159961.519,0.62,0.54,0.47,0.45,0.43,NA,NA
"American Funds Inflation Linked Bd R4",TRUE," R4","R4","R4","RILDX",NA,NA,NA,2015-01-23,1,2015,NA,"Taxable Bond","American Funds",2015-01-23,2020-01-21,8789517,"Retirement","No",191731.669,1651491.24,1852503.308,1374700.945,3230149.226,0.79,0.69,0.72,0.71,NA,NA,NA
"JNL/Westchester Capital Event Driven I",TRUE," I","I","Instl",NA,NA,NA,NA,2017-09-25,9,2017,NA,"Alternative","Jackson National",2017-09-25,2020-01-21,259616147,"Inst","No",NA,NA,240363819.405,-32446149.532,23301512.159,NA,NA,1.38,1.49,NA,NA,NA
"Virtus Essential Resources C",TRUE," C","C","C",NA,2017-03-15,3,2017,2015-03-24,3,2015,"Liquidated","International Equity","Virtus",2015-03-24,2017-03-15,90921,"C","No",120693.724,20105.681,NA,NA,NA,2.4,2.41,NA,NA,NA,2015-03-24,0
"American Beacon Shapiro Equity Opps Inst",TRUE," Inst","Inst","Instl","SHXIX",NA,NA,NA,2017-09-12,9,2017,NA,"U.S. Equity","American Beacon",2017-09-12,2020-01-21,58843971,"Inst","No",NA,NA,3663475.519,44578003.51,4532454.576,NA,NA,NA,0.79,0.79,NA,NA
"American Beacon Large Cap Value R6",TRUE," R6","R6","R6","AALRX",NA,NA,NA,2017-02-28,2,2017,NA,"U.S. Equity","American Beacon",2017-02-28,2020-01-21,1027173213,"Retirement","No",NA,NA,188352879.7,406689709.398,178693164.122,NA,NA,0.58,0.58,0.58,NA,NA
"Transamerica Emerging Markets Equity T1",TRUE," T1","T1","T1",NA,2019-02-15,2,2019,2017-03-17,3,2017,"Liquidated","International Equity","Transamerica",2017-03-17,2019-02-15,10359,"Other","No",NA,NA,9943.621,4.259,NA,NA,NA,1.41,1.34,NA,2017-03-17,0
"BNP Paribas AM US Small Cap Equity Inv",TRUE," Inv","Inv","Investor",NA,2019-07-05,7,2019,2018-01-26,1,2018,"Liquidated","U.S. Equity","BNP Paribas AM",2018-01-26,2019-07-03,98168,"Inv","No",NA,NA,NA,94711.343,NA,NA,NA,NA,0.75,NA,2018-01-26,0
"BNP Paribas AM EM Ttl Ret Fxd Inc Instl",TRUE," Instl","Instl","Instl",NA,2019-07-30,7,2019,2017-12-06,12,2017,"Liquidated","Taxable Bond","BNP Paribas AM",2017-12-06,2019-07-29,2196541,"Inst","No",NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,2017-12-06,0
"Goldman Sachs Global Rl Estt Secs A LW",TRUE," A LW","A","A","GARGX.lw",2016-11-30,11,2016,2015-08-31,8,2015,"Liquidated","Sector Equity","Goldman Sachs",2015-08-31,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,2015-08-31,0
"Mesirow Financial High Yield Inv",TRUE," Inv","Inv","Investor","MFHVX",NA,NA,NA,2018-12-03,12,2018,NA,"Taxable Bond","Mesirow Financial",2018-12-03,2020-01-21,286982,"Inv","No",NA,NA,NA,24344495,-25581098.883,NA,NA,NA,NA,1,NA,NA
"Neiman Opportunities A Load Waived",TRUE," A Load Waived","A","A","NEOMX.lw",2016-11-30,11,2016,2016-04-01,4,2016,"Liquidated","U.S. Equity","Neiman Funds",2016-04-01,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-01,1
"Thornburg Global Opportunities R6",TRUE," R6","R6","R6","THOGX",NA,NA,NA,2017-04-10,4,2017,NA,"International Equity","Thornburg",2017-04-10,2020-01-21,49498721,"Retirement","No",NA,NA,3060581.755,49399525.54,-3327154.785,NA,NA,0.85,0.85,0.85,NA,NA
"Dreyfus Global Infrastructure A",TRUE," A","A","A",NA,2018-03-27,3,2018,2015-03-30,3,2015,"Liquidated","Sector Equity","Dreyfus",2015-03-30,2018-03-27,4363145,"A","No",4615643.194,-242232.37,109350.827,NA,NA,1.3,1.3,1.3,NA,NA,2015-03-30,0
"HSBC Euro High Yield Bond USD H I",TRUE," I","I","Instl",NA,2018-05-25,5,2018,2016-01-19,1,2016,"Liquidated","Taxable Bond","HSBC",2016-01-19,2018-05-25,29882487,"Inst","No",NA,24833352.525,221421.901,NA,NA,NA,0.8,0.8,NA,NA,2016-01-19,0
"Voya Large Cap Growth Port R6",TRUE," R6","R6","R6","VRLCX",NA,NA,NA,2015-11-24,11,2015,NA,"U.S. Equity","Voya",2015-11-24,2020-01-21,64659263,"Retirement","No",2999.9,6856303.296,22194761.965,14917783.508,23725.834,0.67,0.67,0.67,0.67,NA,NA,NA
"Federated Hermes Global Small Cap Instl",TRUE," Instl","Instl","Instl","FHSIX",NA,NA,NA,2019-04-23,4,2019,NA,"International Equity","Federated",2019-04-23,2020-01-21,2811545,"Inst","No",NA,NA,NA,NA,2659076.829,NA,NA,NA,NA,NA,NA,NA
"Thornburg Better World International I",TRUE," I","I","Instl","TBWIX",NA,NA,NA,2015-09-30,9,2015,NA,"International Equity","Thornburg",2015-09-30,2020-01-21,67246497,"Inst","No",14848772.327,15346779.241,24667870.433,-12734721.663,8546339.752,NA,1.09,0.94,1.09,1.09,NA,NA
"Carillon ClariVest Capital Apprec R6",TRUE," R6","R6","R6","HRCUX",NA,NA,NA,2015-07-31,7,2015,NA,"U.S. Equity","Carillon Family of Funds",2015-07-31,2020-01-21,1355711,"Retirement","No",2540.571,29656733.235,3840166.362,-2474417.802,-46911515.882,0.82,0.85,0.82,0.63,0.6,NA,NA
"Fidelity® Large Cap Growth Idx Inv",TRUE," Inv","Inv","Investor",NA,2018-11-09,11,2018,2016-06-07,6,2016,"Merged","U.S. Equity","Fidelity Investments",2016-06-07,2018-10-31,22472271,"Inv","Yes",NA,1452661.245,9250077.044,NA,NA,NA,NA,0.21,0.18,NA,2016-06-07,0
"Victory Sophus Emerging Markets R{mg}",TRUE," R{mg}","R","R",NA,2016-08-01,8,2016,2016-06-16,6,2016,"Merged",NA,"Victory",2016-06-16,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-16,1
"Artisan International Small-Mid Instl",TRUE," Instl","Instl","Instl","APHJX",NA,NA,NA,2016-04-12,4,2016,NA,"International Equity","Artisan",2016-04-12,2019-12-31,783631008,"Inst","No",NA,206064332.409,-42246227.87,-67640668.095,545279380.539,NA,1.37,1.37,1.35,1.16,NA,NA
"SEI Tax-Free Conservative Income Y(SIMT)",TRUE," Y(SIMT)","Y","Y","TFCYX",NA,NA,NA,2016-04-22,4,2016,NA,"Municipal Bond","SEI",2016-04-22,2020-01-21,8983790,"Inst","No",NA,2883711.499,812343.731,11695387.167,-422272.669,NA,0.2,0.2,0.2,NA,NA,NA
"Victory RS Focused Growth Opportuni A LW",TRUE," A LW","A","A",NA,2016-08-26,8,2016,2015-02-27,2,2015,"Liquidated","Alternative","Victory",2015-02-27,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.86,NA,NA,NA,NA,2015-02-27,0
"JPMorgan Intrepid Growth R6",TRUE," R6","R6","R6","JGISX",NA,NA,NA,2015-11-02,11,2015,NA,"U.S. Equity","JPMorgan",2015-11-02,2020-01-21,639839976,"Retirement","No",591129762.174,-106048473.953,-65700879.941,-2649113.285,-7918334.364,NA,0.42,0.43,0.36,0.34,NA,NA
"Dreyfus Opportunistic US Stock Y",TRUE," Y","Y","Y",NA,2017-07-26,7,2017,2015-05-01,5,2015,"Liquidated","U.S. Equity","Dreyfus",2015-05-01,2017-07-26,1102,"Inst","No",995.24,-2.583,NA,NA,NA,0.95,0.95,NA,NA,NA,2015-05-01,0
"Russell Inv Tax-Mgd US Mid & Sm Cap M",TRUE," M","M","M","RTOUX",NA,NA,NA,2017-03-16,3,2017,NA,"U.S. Equity","Russell",2017-03-16,2020-01-21,95742347,"M","No",NA,NA,18427866.515,7881179.073,57557708.806,NA,NA,1.15,1.12,1.1,NA,NA
"AllianzGI Europe Equity Dividend T",TRUE," T","T","T",NA,2019-01-22,1,2019,2017-02-01,2,2017,"Liquidated","International Equity","Allianz Global Investors",2017-02-01,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-01,0
"JHancock Core High Yield R6",TRUE," R6","R6","R6",NA,2016-10-28,10,2016,2015-03-27,3,2015,"Merged","Taxable Bond","John Hancock",2015-03-27,2016-10-28,97722,"Retirement","No",96787.696,NA,NA,NA,NA,0.67,0.7,NA,NA,NA,2015-03-27,0
"BNY Mellon Absolute Insgt Multi-Str A LW",TRUE," A LW","A","A","MAJAX.lw",2016-11-30,11,2016,2015-12-04,12,2015,"Liquidated","Alternative","BNY Mellon",2015-12-04,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-12-04,0
"QS Global Dividend A2 Load Waived",TRUE," A2 Load Waived","A2","A2","LMQSX.lw",2016-11-30,11,2016,2015-04-13,4,2015,"Liquidated","International Equity","Legg Mason",2015-04-13,NA,NA,"Load Waived","No",NA,NA,NA,NA,NA,1.41,NA,NA,NA,NA,2015-04-13,0
"Hartford Global Impact R4",TRUE," R4","R4","R4","HGXSX",NA,NA,NA,2017-02-28,2,2017,NA,"International Equity","Hartford Mutual Funds",2017-02-28,2020-01-21,2411070,"Retirement","No",NA,NA,NA,6553.077,-604546.329,NA,NA,1.12,1.03,0.95,NA,NA
